"id","export_config_id:id","sequence","name","export_type","size","decimal_size","alignment","apply_sign","bool_no","bool_yes","expression","fixed_value","conditional_expression","subconfig_id/id"
"aeat_mod123_2024_sub01_export_line_14","aeat_mod123_2024_sub01_export_config",14,"Liquidación(3). Base de retenciones e ingresos a cuenta. Dividendos y otras rentas (…) [04]","float",17,2,"right",1,,,"${object.casilla_04_2024}",,,
"aeat_mod123_2024_sub01_export_line_15","aeat_mod123_2024_sub01_export_config",15,"Liquidación(3). Base de retenciones e ingresos a cuenta. Resto de rentas [05]","float",17,2,"right",1,,,"${object.casilla_05_2024}",,,
"aeat_mod123_2024_sub01_export_line_16","aeat_mod123_2024_sub01_export_config",16,"Liquidación(3). Base de retenciones e ingresos a cuenta. Totales [06]","float",17,2,"right",1,,,"${object.casilla_06_2024}",,,
"aeat_mod123_2024_sub01_export_line_17","aeat_mod123_2024_sub01_export_config",17,"Liquidación(3). Retenciones e ingresos a cuenta. Dividendos y otras rentas (...) [07]","float",17,2,"right",1,,,"${object.casilla_07_2024}",,,
"aeat_mod123_2024_sub01_export_line_18","aeat_mod123_2024_sub01_export_config",18,"Liquidación(3). Retenciones e ingresos a cuenta. Resto de rentas [08]","float",17,2,"right",1,,,"${object.casilla_08_2024}",,,
"aeat_mod123_2024_sub01_export_line_19","aeat_mod123_2024_sub01_export_config",19,"Liquidación(3). Retenciones e ingresos a cuenta. Totales [09]","float",17,2,"right",1,,,"${object.casilla_09_2024}",,,
"aeat_mod123_2024_sub01_export_line_20","aeat_mod123_2024_sub01_export_config",20,"Liquidación(3). Periodificación. Ingresos ejercicios anteriores [10]","float",17,2,"right",1,,,"${object.casilla_10_2024}",,,
"aeat_mod123_2024_sub01_export_line_21","aeat_mod123_2024_sub01_export_config",21,"Liquidación(3). Periodificación. Regularización. [11]","float",17,2,"right",1,,,"${object.casilla_11_2024}",,,
"aeat_mod123_2024_sub01_export_line_22","aeat_mod123_2024_sub01_export_config",22,"Liquidación(3). Suma de retenciones e ingresos a cuenta y regularización, en su caso ( [09]+ [11] ) [12]","float",17,2,"right",1,,,"${object.casilla_12_2024}",,,
"aeat_mod123_2024_sub01_export_line_23","aeat_mod123_2024_sub01_export_config",23,"Liquidación(3). Resultados a ingresar de anteriores autoliquidaciones por el mismo concepto, ejercicio y periodo [13]","float",17,2,"right",1,,,"${object.casilla_13_2024}",,,
"aeat_mod123_2024_sub01_export_line_24","aeat_mod123_2024_sub01_export_config",24,"Liquidación(3). Resultado a ingresar ( [12] - [13] ) [14]","float",17,2,"right",1,,,"${object.casilla_14_2024}",,,
"aeat_mod123_2024_sub01_export_line_25","aeat_mod123_2024_sub01_export_config",25,"Declaración complementaria","boolean",1,,"left",," ","X","${object.statement_type == 'C'}",,,
"aeat_mod123_2024_sub01_export_line_26","aeat_mod123_2024_sub01_export_config",26,"Número de justificante de la declaración anterior","string",13,,"left",,,,"${object.previous_number if object.statement_type == 'C' else ''}",,,
"aeat_mod123_2024_sub01_export_line_27","aeat_mod123_2024_sub01_export_config",27,"Domiciliación IBAN","string",34,,"left",,,,"${object.partner_bank_id and object.partner_bank_id.acc_number and object.partner_bank_id.acc_number.replace("" "", """") or """"}",,,
"aeat_mod123_2024_sub01_export_line_28","aeat_mod123_2024_sub01_export_config",28,"Reservado AEAT","string",200,,"left",,,,,,,
"aeat_mod123_2024_sub01_export_line_29","aeat_mod123_2024_sub01_export_config",29,"Indicador de fin de registro","string",12,,"left",,,,,"</T12301000>",,
"aeat_mod123_2024_main_export_line_01","aeat_mod123_2024_main_export_config",1,"Constante: <T","string",2,,"left",,,,,"<T",,
"aeat_mod123_2024_main_export_line_02","aeat_mod123_2024_main_export_config",2,"Constante: 123","string",3,,"left",,,,,"123",,
"aeat_mod123_2024_main_export_line_03","aeat_mod123_2024_main_export_config",3,"Constante: 0","string",1,,"left",,,,,"0",,
"aeat_mod123_2024_main_export_line_04","aeat_mod123_2024_main_export_config",4,"Ejercicio devengo (AAAA)","string",4,,"left",,,,"${object.year}",,,
"aeat_mod123_2024_main_export_line_05","aeat_mod123_2024_main_export_config",5,"Periodo (PP)","string",2,,"left",,,,"${object.period_type}",,,
"aeat_mod123_2024_main_export_line_06","aeat_mod123_2024_main_export_config",6,"Constante: 0000>","string",5,,"left",,,,,"0000>",,
"aeat_mod123_2024_main_export_line_07","aeat_mod123_2024_main_export_config",7,"Constante: <AUX>","string",5,,"left",,,,,"<AUX>",,
"aeat_mod123_2024_main_export_line_08","aeat_mod123_2024_main_export_config",8,"Reservado para la Administración: Rellenar con blancos","string",70,,"left",,,,,,,
"aeat_mod123_2024_main_export_line_09","aeat_mod123_2024_main_export_config",9,"Versión del programa","string",4,,"left",,,,,"odoo",,
"aeat_mod123_2024_main_export_line_10","aeat_mod123_2024_main_export_config",10,"Reservado para la Administración. Rellenar con blancos","string",4,,"left",,,,,,,
"aeat_mod123_2024_main_export_line_11","aeat_mod123_2024_main_export_config",11,"NIF Empresa Desarrollo","string",9,,"left",,,,,"G87846952",,
"aeat_mod123_2024_main_export_line_12","aeat_mod123_2024_main_export_config",12,"Reservado para la Administración. Rellenar con blancos","string",213,,"left",,,,,,,
"aeat_mod123_2024_main_export_line_13","aeat_mod123_2024_main_export_config",13,"Constante: <AUX>","string",6,,"left",,,,,"</AUX>",,
"aeat_mod123_2024_main_export_line_14","aeat_mod123_2024_main_export_config",14,"Contenido del fichero [sub01]","subconfig",,,,,,,,,1,"aeat_mod123_2024_sub01_export_config"
"aeat_mod123_2024_main_export_line_15","aeat_mod123_2024_main_export_config",15,"Constante: </T1230+Ejercicio+periodo+0000>","string",18,,"left",,,,"</T1230${object.year}${object.period_type}0000>",,,
"aeat_mod123_2024_main_export_line_16","aeat_mod123_2024_main_export_config",16,"Fin de Registro. Constante CRLF (Hexadecimal 0D0A, Decimal 1310)","string",2,,"left",,,,"${""\r\n"".encode(""ascii"")}",,,
