id,export_config_id:id,sequence,name,export_type,size,decimal_size,alignment,apply_sign,negative_sign,positive_sign,bool_no,bool_yes,expression,fixed_value,conditional_expression,repeat_expression,subconfig_id/id
aeat_mod322_2023_main_export_line_13,aeat_mod322_2023_main_export_config,13,Constante: </AUX>,string,6,0,left,1,N,0, ,X,,</AUX>,,,
aeat_mod322_2023_main_export_line_14,aeat_mod322_2023_main_export_config,14,P01 - Régimen general/simplificado,subconfig,0,0,left,1,N,0, ,X,,,,,aeat_mod322_2023_sub01_export_config
aeat_mod322_2023_main_export_line_15,aeat_mod322_2023_main_export_config,15,P02 - Régimen general/simplificado – continuación,subconfig,0,0,left,1,N,0, ,X,,,,,aeat_mod322_2023_sub02_export_config
aeat_mod322_2023_main_export_line_16,aeat_mod322_2023_main_export_config,16,P03 - Informacion adicional + resultado,subconfig,0,0,left,1,N,0, ,X,,,"object.period_type in ('4T', '12')",,aeat_mod322_2023_sub03_export_config
aeat_mod322_2023_main_export_line_20,aeat_mod322_2023_main_export_config,20,Constante. </T3220+Ejercicio+periodo+0000>,string,18,0,left,1,N,0, ,X,</T3220${object.year}${object.period_type}0000>,,,,
aeat_mod322_2023_sub01_export_line_001,aeat_mod322_2023_sub01_export_config,1,Constante: <T,string,2,0,left,1,N,0, ,X,,<T,,,
aeat_mod322_2023_sub01_export_line_002,aeat_mod322_2023_sub01_export_config,2,Modelo: 322,string,3,0,left,1,N,0, ,X,,322,,,
aeat_mod322_2023_sub01_export_line_003,aeat_mod322_2023_sub01_export_config,3,Constante: 01000,float,5,0,left,1,N,0, ,X,,1000,,,
aeat_mod322_2023_sub01_export_line_004,aeat_mod322_2023_sub01_export_config,4,Constante: >,string,1,0,left,1,N,0, ,X,,>,,,
aeat_mod322_2023_sub01_export_line_005,aeat_mod322_2023_sub01_export_config,5,Indicador de página complementaria,string,1,0,left,1,N,0, ,X,,,,,
aeat_mod322_2023_sub01_export_line_006,aeat_mod322_2023_sub01_export_config,6,Tipo de declaración,boolean,1,0,left,1,N,0, ,C,${object.statement_type == 'C'},,,,
aeat_mod322_2023_sub01_export_line_007,aeat_mod322_2023_sub01_export_config,7,Identificación: NIF,string,9,0,left,1,N,0, ,X,${object.company_vat},,,,
aeat_mod322_2023_sub01_export_line_008,aeat_mod322_2023_sub01_export_config,8,Identificación: Apellidos y nombre o Razón social,string,60,0,left,1,N,0, ,X,${object.company_id.name},,,,
aeat_mod322_2023_sub01_export_line_009,aeat_mod322_2023_sub01_export_config,9,Reservado AEAT,string,20,0,left,1,N,0, ,X,,,,,
aeat_mod322_2023_sub01_export_line_010,aeat_mod322_2023_sub01_export_config,10,Identificación. Ejercicio,string,4,0,left,1,N,0, ,X,${object.year},,,,
aeat_mod322_2023_sub01_export_line_011,aeat_mod322_2023_sub01_export_config,11,Identificación. Periodo,string,2,0,left,1,N,0, ,X,${object.period_type},,,,
aeat_mod322_2023_sub01_export_line_012,aeat_mod322_2023_sub01_export_config,12,Identificación. Nº Grupo,string,10,0,left,1,N,0, ,X,${object.group_number},,,,
aeat_mod322_2023_sub01_export_line_013,aeat_mod322_2023_sub01_export_config,13,Identificación. Dominante / Dependiente,string,1,0,left,1,N,0, ,X,${object.company_type},,,,
aeat_mod322_2023_sub01_export_line_014,aeat_mod322_2023_sub01_export_config,14,Identificación. NIF de la entidad dominante,string,9,0,left,1,N,0, ,X,${object.dominant_company_vat},,,,
aeat_mod322_2023_sub01_export_line_015,aeat_mod322_2023_sub01_export_config,15,Identificación. Tipo régimen especial aplicable: Art. 163 sexies.Cinco LIVA. ,string,1,0,left,1,N,0, ,X,,1,,,
aeat_mod322_2023_sub01_export_line_016,aeat_mod322_2023_sub01_export_config,16,Identificación. ¿Está inscrito en el Registro de devolución mensual (Art. 30 RIVA)?. ,string,1,0,left,1,N,0, ,X,,2,,,
aeat_mod322_2023_sub01_export_line_017,aeat_mod322_2023_sub01_export_config,17,Identificación. ¿Es destinatario de operaciones a las que se aplique el régimen especial del criterio de caja?. ,string,1,0,left,1,N,0, ,X,,2,,,
aeat_mod322_2023_sub01_export_line_018,aeat_mod322_2023_sub01_export_config,18,Identificación. Aplicación de la prorrata especial (art. 103.Dos.1ºLIVA)  - Opción por la aplicación / Revocación de la opción ,string,1,0,left,1,N,0, ,X,,0,,,
aeat_mod322_2023_sub01_export_line_019,aeat_mod322_2023_sub01_export_config,19,Liquidación. IVA DEVENGADO. Operaciones intragrupo. Base imponible [159],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==159).amount},,,,
aeat_mod322_2023_sub01_export_line_020,aeat_mod322_2023_sub01_export_config,20,Liquidación. IVA DEVENGADO. Operaciones intragrupo. Tipo % [160],float,5,2,right,0,N,0, ,X,0,,,,
aeat_mod322_2023_sub01_export_line_021,aeat_mod322_2023_sub01_export_config,21,Liquidación. IVA DEVENGADO. Operaciones intragrupo. Cuota [161],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==161).amount},,,,
aeat_mod322_2023_sub01_export_line_022,aeat_mod322_2023_sub01_export_config,22,Liquidación. IVA DEVENGADO. Operaciones intragrupo. Base imponible [01],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==1).amount},,,,
aeat_mod322_2023_sub01_export_line_023,aeat_mod322_2023_sub01_export_config,23,Liquidación. IVA DEVENGADO. Operaciones intragrupo. Tipo % [02],float,5,2,right,0,N,0, ,X,4,,,,
aeat_mod322_2023_sub01_export_line_024,aeat_mod322_2023_sub01_export_config,24,Liquidación. IVA DEVENGADO. Operaciones intragrupo. Cuota [03],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==3).amount},,,,
aeat_mod322_2023_sub01_export_line_025,aeat_mod322_2023_sub01_export_config,25,Liquidación. IVA DEVENGADO. Operaciones intragrupo. Base imponible [162],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==162).amount},,,,
aeat_mod322_2023_sub01_export_line_026,aeat_mod322_2023_sub01_export_config,26,Liquidación. IVA DEVENGADO. Operaciones intragrupo. Tipo % [163],float,5,2,right,0,N,0, ,X,5,,,,
aeat_mod322_2023_sub01_export_line_027,aeat_mod322_2023_sub01_export_config,27,Liquidación. IVA DEVENGADO. Operaciones intragrupo. Cuota [164],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==164).amount},,,,
aeat_mod322_2023_sub01_export_line_028,aeat_mod322_2023_sub01_export_config,28,Liquidación. IVA DEVENGADO. Operaciones intragrupo. Base imponible [04],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==4).amount},,,,
aeat_mod322_2023_sub01_export_line_029,aeat_mod322_2023_sub01_export_config,29,Liquidación. IVA DEVENGADO. Operaciones intragrupo. Tipo % [05],float,5,2,right,0,N,0, ,X,10,,,,
aeat_mod322_2023_sub01_export_line_030,aeat_mod322_2023_sub01_export_config,30,Liquidación. IVA DEVENGADO. Operaciones intragrupo. Cuota [06],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==6).amount},,,,
aeat_mod322_2023_sub01_export_line_031,aeat_mod322_2023_sub01_export_config,31,Liquidación. IVA DEVENGADO. Operaciones intragrupo. Base imponible [07],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==7).amount},,,,
aeat_mod322_2023_sub01_export_line_032,aeat_mod322_2023_sub01_export_config,32,Liquidación. IVA DEVENGADO. Operaciones intragrupo. Tipo % [08],float,5,2,right,0,N,0, ,X,21,,,,
aeat_mod322_2023_sub01_export_line_033,aeat_mod322_2023_sub01_export_config,33,Liquidación. IVA DEVENGADO. Operaciones intragrupo. Cuota [09],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==9).amount},,,,
aeat_mod322_2023_sub01_export_line_034,aeat_mod322_2023_sub01_export_config,34,Liquidación. IVA DEVENGADO. Modificación bases y cuotas de operaciones intragrupo [10],float,17,2,right,0,N,0, ,X,"${sum(object.tax_line_ids.filtered(lambda r: r.field_number==10).mapped(""amount""))}",,,,
aeat_mod322_2023_sub01_export_line_035,aeat_mod322_2023_sub01_export_config,35,Liquidación. IVA DEVENGADO. Modificación bases y cuotas de operaciones intragrupo  [11],float,17,2,right,0,N,0, ,X,"${sum(object.tax_line_ids.filtered(lambda r: r.field_number==11).mapped(""amount""))}",,,,
aeat_mod322_2023_sub01_export_line_036,aeat_mod322_2023_sub01_export_config,36,Liquidación. IVA DEVENGADO.  Resto de operaciones en régimen general [150],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==150).amount},,,,
aeat_mod322_2023_sub01_export_line_037,aeat_mod322_2023_sub01_export_config,37,Liquidación. IVA DEVENGADO.  Resto de operaciones en régimen general. Tipo % [151],float,5,2,right,0,N,0, ,X,0,,,,
aeat_mod322_2023_sub01_export_line_038,aeat_mod322_2023_sub01_export_config,38,Liquidación. IVA DEVENGADO.  Resto de operaciones en régimen general. Cuota [152],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==152).amount},,,,
aeat_mod322_2023_sub01_export_line_039,aeat_mod322_2023_sub01_export_config,39,Liquidación. IVA DEVENGADO.  Resto de operaciones en régimen general [12],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==12).amount},,,,
aeat_mod322_2023_sub01_export_line_040,aeat_mod322_2023_sub01_export_config,40,Liquidación. IVA DEVENGADO.  Resto de operaciones en régimen general. Tipo % [13],float,5,2,right,0,N,0, ,X,4,,,,
aeat_mod322_2023_sub01_export_line_041,aeat_mod322_2023_sub01_export_config,41,Liquidación. IVA DEVENGADO.  Resto de operaciones en régimen general. Cuota [14],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==14).amount},,,,
aeat_mod322_2023_sub01_export_line_042,aeat_mod322_2023_sub01_export_config,42,Liquidación. IVA DEVENGADO.  Resto de operaciones en régimen general [153],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==153).amount},,,,
aeat_mod322_2023_sub01_export_line_043,aeat_mod322_2023_sub01_export_config,43,Liquidación. IVA DEVENGADO.  Resto de operaciones en régimen general. Tipo % [154],float,5,2,right,0,N,0, ,X,5,,,,
aeat_mod322_2023_sub01_export_line_044,aeat_mod322_2023_sub01_export_config,44,Liquidación. IVA DEVENGADO.  Resto de operaciones en régimen general. Cuota [155],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==155).amount},,,,
aeat_mod322_2023_sub01_export_line_045,aeat_mod322_2023_sub01_export_config,45,Liquidación. IVA DEVENGADO.  Resto de operaciones en régimen general [15],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==15).amount},,,,
aeat_mod322_2023_sub01_export_line_046,aeat_mod322_2023_sub01_export_config,46,Liquidación. IVA DEVENGADO.  Resto de operaciones en régimen general.  Tipo % [16],float,5,2,right,0,N,0, ,X,10,,,,
aeat_mod322_2023_sub01_export_line_047,aeat_mod322_2023_sub01_export_config,47,Liquidación. IVA DEVENGADO.  Resto de operaciones en régimen general. Cuota [17],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==17).amount},,,,
aeat_mod322_2023_sub01_export_line_048,aeat_mod322_2023_sub01_export_config,48,Liquidación. IVA DEVENGADO.  Resto de operaciones en régimen general [18],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==18).amount},,,,
aeat_mod322_2023_sub01_export_line_049,aeat_mod322_2023_sub01_export_config,49,Liquidación. IVA DEVENGADO.  Resto de operaciones en régimen general.  Tipo % [19],float,5,2,right,0,N,0, ,X,21,,,,
aeat_mod322_2023_sub01_export_line_050,aeat_mod322_2023_sub01_export_config,50,Liquidación. IVA DEVENGADO.  Resto de operaciones en régimen general. Cuota [20],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==20).amount},,,,
aeat_mod322_2023_sub01_export_line_051,aeat_mod322_2023_sub01_export_config,51,Liquidación. IVA DEVENGADO. Adquisiciones intracomunitarias de bienes y servicios. Base imponible  [21],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==21).amount},,,,
aeat_mod322_2023_sub01_export_line_052,aeat_mod322_2023_sub01_export_config,52,Liquidación. IVA DEVENGADO. Adquisiciones intracomunitarias de bienes y servicios. Cuota [22],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==22).amount},,,,
aeat_mod322_2023_sub01_export_line_053,aeat_mod322_2023_sub01_export_config,53,Liquidación. IVA DEVENGADO. Otras operaciones con inversión del sujeto pasivo (excepto adq. intracom.) [23],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==23).amount},,,,
aeat_mod322_2023_sub01_export_line_054,aeat_mod322_2023_sub01_export_config,54,Liquidación. IVA DEVENGADO. Otras operaciones con inversión del sujeto pasivo (excepto adq. intracom.). Cuota [24],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==24).amount},,,,
aeat_mod322_2023_sub01_export_line_055,aeat_mod322_2023_sub01_export_config,55,Liquidación. IVA DEVENGADO. Modificación bases y cuotas en régimen general. Base imponible  [25],float,17,2,right,1,N,0, ,X,${sum(object.tax_line_ids.filtered(lambda r: r.field_number==25).mapped('amount'))},,,,
aeat_mod322_2023_sub01_export_line_056,aeat_mod322_2023_sub01_export_config,56,Liquidación. IVA DEVENGADO. Modificación bases y cuotas en régimen general. Cuota [26],float,17,2,right,1,N,0, ,X,${sum(object.tax_line_ids.filtered(lambda r: r.field_number==26).mapped('amount'))},,,,
aeat_mod322_2023_sub01_export_line_057,aeat_mod322_2023_sub01_export_config,57,Liquidación. IVA DEVENGADO. Recargo de Equivalencia.  Base imponible  [156],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==156).amount},,,,
aeat_mod322_2023_sub01_export_line_058,aeat_mod322_2023_sub01_export_config,58,Liquidación. IVA DEVENGADO. Recargo de Equivalencia.   Tipo % [157],float,5,2,right,0,N,0, ,X,1.75,,,,
aeat_mod322_2023_sub01_export_line_059,aeat_mod322_2023_sub01_export_config,59,Liquidación. IVA DEVENGADO. Recargo de Equivalencia.  Cuota [158],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==158).amount},,,,
aeat_mod322_2023_sub01_export_line_060,aeat_mod322_2023_sub01_export_config,60,Liquidación. IVA DEVENGADO. Recargo de Equivalencia.  Base imponible  [27],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==27).amount},,,,
aeat_mod322_2023_sub01_export_line_061,aeat_mod322_2023_sub01_export_config,61,Liquidación. IVA DEVENGADO. Recargo de Equivalencia.   Tipo % [28],float,5,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==28).move_line_ids.tax_line_id[:1].amount},,,,
aeat_mod322_2023_sub01_export_line_062,aeat_mod322_2023_sub01_export_config,62,Liquidación. IVA DEVENGADO. Recargo de Equivalencia.  Cuota [29],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==29).amount},,,,
aeat_mod322_2023_sub01_export_line_063,aeat_mod322_2023_sub01_export_config,63,Liquidación. IVA DEVENGADO. Recargo de Equivalencia.  Base imponible  [30],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==30).amount},,,,
aeat_mod322_2023_sub01_export_line_064,aeat_mod322_2023_sub01_export_config,64,Liquidación. IVA DEVENGADO. Recargo de Equivalencia.   Tipo % [31],float,5,2,right,0,N,0, ,X,1.40,,,,
aeat_mod322_2023_sub01_export_line_065,aeat_mod322_2023_sub01_export_config,65,Liquidación. IVA DEVENGADO. Recargo de Equivalencia.  Cuota [32],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==32).amount},,,,
aeat_mod322_2023_sub01_export_line_066,aeat_mod322_2023_sub01_export_config,66,Liquidación. IVA DEVENGADO. Recargo de Equivalencia.   Base imponible  [33],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==33).amount},,,,
aeat_mod322_2023_sub01_export_line_067,aeat_mod322_2023_sub01_export_config,67,Liquidación. IVA DEVENGADO. Recargo de Equivalencia.   Tipo % [34],float,5,2,right,0,N,0, ,X,5.2,,,,
aeat_mod322_2023_sub01_export_line_068,aeat_mod322_2023_sub01_export_config,68,Liquidación. IVA DEVENGADO. Recargo de Equivalencia.   Cuota [35],float,17,2,right,0,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==35).amount},,,,
aeat_mod322_2023_sub01_export_line_069,aeat_mod322_2023_sub01_export_config,69,Liquidación. IVA DEVENGADO. Modificación bases y cuotas del recargo de equivalencia.   Base imponible  [36],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==36).amount},,,,
aeat_mod322_2023_sub01_export_line_070,aeat_mod322_2023_sub01_export_config,70,Liquidación. IVA DEVENGADO. Modificación bases y cuotas del recargo de equivalencia.  Cuota  [37],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==37).amount},,,,
aeat_mod322_2023_sub01_export_line_071,aeat_mod322_2023_sub01_export_config,71,Reservado para la Administración,string,34,0,left,1,N,0, ,X,,,,,
aeat_mod322_2023_sub01_export_line_072,aeat_mod322_2023_sub01_export_config,72,Total cuota devengada ([161]+[03]+[164]+[06]+[09]+[152]+[11]+[14]+[155]+[17]+[20]+[22]+[24]+[26]+[158]+[29]+[32]+[35]+[37]). [38],float,17,2,right,1,N,0, ,X,${object.total_devengado},,,,
aeat_mod322_2023_sub01_export_line_073,aeat_mod322_2023_sub01_export_config,73,Liquidación. IVA DEDUCIBLE. Por cuotas soportadas en operaciones intragrupo corrientes.  Base imponible  [39],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==39).amount},,,,
aeat_mod322_2023_sub01_export_line_074,aeat_mod322_2023_sub01_export_config,74,Liquidación. IVA DEDUCIBLE. Por cuotas soportadas en operaciones intragrupo corrientes.  Cuota  [40],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==40).amount},,,,
aeat_mod322_2023_sub01_export_line_075,aeat_mod322_2023_sub01_export_config,75,Liquidación. IVA DEDUCIBLE. Por cuotas soportadas en operaciones intragrupo con bienes de inversión. Base imponible [41],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==41).amount},,,,
aeat_mod322_2023_sub01_export_line_076,aeat_mod322_2023_sub01_export_config,76,Liquidación. IVA DEDUCIBLE. Por cuotas soportadas en operaciones intragrupo con bienes de inversión. Cuota [42],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==42).amount},,,,
aeat_mod322_2023_sub01_export_line_077,aeat_mod322_2023_sub01_export_config,77,Liquidación. IVA DEDUCIBLE. Rectificación de deducciones por operaciones intragrupo. Base imponible [43],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==43).amount},,,,
aeat_mod322_2023_sub01_export_line_078,aeat_mod322_2023_sub01_export_config,78,Liquidación. IVA DEDUCIBLE. Rectificación de deducciones por operaciones intragrupo. Cuota [44],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==44).amount},,,,
aeat_mod322_2023_sub01_export_line_079,aeat_mod322_2023_sub01_export_config,79,Liquidación. IVA DEDUCIBLE. Por cuotas soportadas en otras operaciones interiores corrientes. Base imponible [45],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==45).amount},,,,
aeat_mod322_2023_sub01_export_line_080,aeat_mod322_2023_sub01_export_config,80,Liquidación. IVA DEDUCIBLE. Por cuotas soportadas en otras operaciones interiores corrientes. Cuota [46],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==46).amount},,,,
aeat_mod322_2023_sub01_export_line_081,aeat_mod322_2023_sub01_export_config,81,Liquidación. IVA DEDUCIBLE. Por cuotas soportadas en otras operaciones interiores con bienes de inversión. Base imponible [47],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==47).amount},,,,
aeat_mod322_2023_sub01_export_line_082,aeat_mod322_2023_sub01_export_config,82,Liquidación. IVA DEDUCIBLE. Por cuotas soportadas en otras operaciones interiores con bienes de inversión. Cuota [48],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==48).amount},,,,
aeat_mod322_2023_sub01_export_line_083,aeat_mod322_2023_sub01_export_config,83,Liquidación. IVA DEDUCIBLE. Por cuotas soportadas en las importaciones de bienes corrientes. Base imponible [49],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==49).amount},,,,
aeat_mod322_2023_sub01_export_line_084,aeat_mod322_2023_sub01_export_config,84,Liquidación. IVA DEDUCIBLE. Por cuotas soportadas en las importaciones de bienes corrientes. Cuota [50],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==50).amount},,,,
aeat_mod322_2023_sub01_export_line_085,aeat_mod322_2023_sub01_export_config,85,Liquidación. IVA DEDUCIBLE. Por cuotas soportadas en las importaciones de bienes de inversión. Base imponible [51],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==51).amount},,,,
aeat_mod322_2023_sub01_export_line_086,aeat_mod322_2023_sub01_export_config,86,Liquidación. IVA DEDUCIBLE. Por cuotas soportadas en las importaciones de bienes de inversión. Cuota [52],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==52).amount},,,,
aeat_mod322_2023_sub01_export_line_087,aeat_mod322_2023_sub01_export_config,87,Liquidación. IVA DEDUCIBLE. En adquisiciones intracomunitarias de bienes y servicios corrientes. Base imponible [53],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==53).amount},,,,
aeat_mod322_2023_sub01_export_line_088,aeat_mod322_2023_sub01_export_config,88,Liquidación. IVA DEDUCIBLE. En adquisiciones intracomunitarias de bienes y servicios corrientes. Cuota[54],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==54).amount},,,,
aeat_mod322_2023_sub01_export_line_089,aeat_mod322_2023_sub01_export_config,89,Liquidación. IVA DEDUCIBLE. En adquisiciones intracomunitarias de bienes de inversión. Base imponible [55],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==55).amount},,,,
aeat_mod322_2023_sub01_export_line_090,aeat_mod322_2023_sub01_export_config,90,Liquidación. IVA DEDUCIBLE. En adquisiciones intracomunitarias de bienes de inversión. Cuota [56],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==56).amount},,,,
aeat_mod322_2023_sub01_export_line_091,aeat_mod322_2023_sub01_export_config,91,Liquidación. IVA DEDUCIBLE. Rectificación de deducciones en resto de operaciones (no intragrupo). Base imponible [57],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==57).amount},,,,
aeat_mod322_2023_sub01_export_line_092,aeat_mod322_2023_sub01_export_config,92,Liquidación. IVA DEDUCIBLE. Rectificación de deducciones en resto de operaciones (no intragrupo). Cuota [58],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==58).amount},,,,
aeat_mod322_2023_sub01_export_line_093,aeat_mod322_2023_sub01_export_config,93,Liquidación. IVA DEDUCIBLE.Compensación régimen especial A.G. y P. Cuota [59],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==59).amount},,,,
aeat_mod322_2023_sub01_export_line_094,aeat_mod322_2023_sub01_export_config,94,Liquidación. IVA DEDUCIBLE. Regularización bienes de inversión. Cuota [60],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==60).amount},,,,
aeat_mod322_2023_sub01_export_line_095,aeat_mod322_2023_sub01_export_config,95,Liquidación. IVA DEDUCIBLE. Regularización por aplicación del porcentaje definitivo de prorrata. Cuota [61],float,17,2,right,1,N,0, ,X,${object.tax_line_ids.filtered(lambda r: r.field_number==61).amount},,,,
aeat_mod322_2023_sub01_export_line_096,aeat_mod322_2023_sub01_export_config,96,Total a deducir ([40]+[42]+[44]+[46]+[48]+[50]+[52]+[54]+[56]+[58]+[59]+[60]+[61])  [62],float,17,2,right,1,N,0, ,X,${object.total_deducir},,,,
aeat_mod322_2023_sub01_export_line_097,aeat_mod322_2023_sub01_export_config,97,Identificación. ¿Existe volumen de operaciones (art. 121 LIVA)?,string,1,0,left,0,N,0, ,X,,2,,,
aeat_mod322_2023_sub01_export_line_098,aeat_mod322_2023_sub01_export_config,98,"Sujeto pasivo que tributa exclusivamente a una Administración tributaria Foral con IVA a la importación liquidado
por la Aduana pendiente de ingreso",string,1,0,left,0,N,0, ,X,,,,,
aeat_mod322_2023_sub01_export_line_099,aeat_mod322_2023_sub01_export_config,99,"Identificación. ¿Está exonerado de la Declaración-resumen anual del IVA, modelo 390?",string,1,0,left,0,N,0, ,X,,1,,,
aeat_mod322_2023_sub01_export_line_100,aeat_mod322_2023_sub01_export_config,100,Reservado para la Administración.,string,165,0,left,0,N,0, ,X,,,,,
