"id","name","name@es","name@ca","code","account_type","reconcile"
"account_full_canary_150","Non-current liability-classified shares or equity holdings","Acciones o participaciones consideradas como pasivos financieros","Accions o participacions a llarg termini considerades passius financers","150","liability_non_current","False"
"account_full_canary_171","Non-current payables","Deudas","Deutes a llarg termini","171","liability_non_current","False"
"account_full_canary_1765","Pasivos por derivados financieros, carter de negociación","Pasivos por derivados financieros, carter de negociación","Pasivos por derivados financieros, carter de negociación","1765","liability_non_current","True"
"account_full_canary_1768","Pasivos por derivados financieros, instrumentos de cobertura","Pasivos por derivados financieros, instrumentos de cobertura","Pasivos por derivados financieros, instrumentos de cobertura","1768","liability_non_current","True"
"account_full_canary_178","Obligaciones y bonos convertibles","Obligaciones y bonos convertibles","Obligaciones y bonos convertibles","178","liability_non_current","False"
"account_full_canary_189","Garantías financieras","Garantías financieras","Garantías financieras","189","liability_non_current","False"

"account_full_canary_204","Fondo de comercio","Fondo de comercio","Fondo de comercio","204","asset_fixed","False"
"account_full_canary_2403","Participaciones en empresas del grupo","Participaciones en empresas del grupo","Participaciones en empresas del grupo","2403","asset_fixed","False"
"account_full_canary_2404","Participaciones en empresas asociadas","Participaciones en empresas asociadas","Participaciones en empresas asociadas","2404","asset_fixed","False"
"account_full_canary_2405","Participaciones en otras partes vinculadas","Participaciones en otras partes vinculadas","Participaciones en otras partes vinculadas","2405","asset_fixed","False"
"account_full_canary_2493","Desembolsos pendientes sobre participaciones en empresas del grupo","Desembolsos pendientes sobre participaciones en empresas del grupo","Desembolsos pendientes sobre participaciones en empresas del grupo","2493","asset_fixed","False"
"account_full_canary_2494","Desembolsos pendientes sobre participaciones en empresas asociadas","Desembolsos pendientes sobre participaciones en empresas asociadas","Desembolsos pendientes sobre participaciones en empresas asociadas","2494","asset_fixed","False"
"account_full_canary_2495","Desembolsos pendientes sobre participaciones en otras partes vinculadas","Desembolsos pendientes sobre participaciones en otras partes vinculadas","Desembolsos pendientes sobre participaciones en otras partes vinculadas","2495","asset_fixed","False"
"account_full_canary_255","Activos por derivados financieros, cartera de negociación","Activos por derivados financieros, cartera de negociación","Activos por derivados financieros, cartera de negociación","255","asset_fixed","False"
"account_full_canary_2553","Activos por derivados financieros, instrumentos de cobertura","Activos por derivados financieros, instrumentos de cobertura","Activos por derivados financieros, instrumentos de cobertura","2553","asset_fixed","False"
"account_full_canary_257","Derechos de reembolso derivados de contratos de seguro relativos a retribuciones al personal","Derechos de reembolso derivados de contratos de seguro relativos a retribuciones al personal","Derechos de reembolso derivados de contratos de seguro relativos a retribuciones al personal","257","asset_fixed","False"
"account_full_canary_2935","Deterioro de valor de participaciones a largo plazo en otras partes vinculadas","Deterioro de valor de participaciones a largo plazo en otras partes vinculadas","Deterioro de valor de participaciones a largo plazo en otras partes vinculadas","2935","asset_fixed","False"
"account_full_canary_296","Deterioro de  valor de participaciones en el patrimonio neto a largo plazo","Deterioro de  valor de participaciones en el patrimonio neto a largo plazo","Deterioro de  valor de participaciones en el patrimonio neto a largo plazo","296","asset_fixed","False"

"account_full_canary_466","Remuneraciones mediante sistemas de aportación definida pendientes de pago","Remuneraciones mediante sistemas de aportación definida pendientes de pago","Remuneraciones mediante sistemas de aportación definida pendientes de pago","466","liability_payable","True"
"account_common_canary_4707","Hacienda Pública, deudora por IGIC","Hacienda Pública, deudora por IGIC","Hacienda Pública, deudora por IGIC",4707,"asset_current","False"
"account_full_canary_47071","Hacienda Pública, deudora por IGIC régimen transitorio circulante","Hacienda Pública, deudora por IGIC régimen transitorio circulante","Hacienda Pública, deudora por IGIC régimen transitorio circulante",47071,"asset_current","False"
"account_full_canary_47072","Hacienda Pública, deudora por IGIC régimen transitorio inversión","Hacienda Pública, deudora por IGIC régimen transitorio inversión","Hacienda Pública, deudora por IGIC régimen transitorio inversión",47072,"asset_current","False"
"account_common_canary_4727","Hacienda Pública. IGIC Soportado","Hacienda Pública. IGIC Soportado","Hacienda Pública. IGIC Soportado",4727,"asset_current","False"
"account_common_canary_4757","Hacienda Pública, acreedora por IGIC","Hacienda Pública, acreedora por IGIC","Hacienda Pública, acreedora por IGIC",4757,"asset_current","False"
"account_common_canary_4777","Hacienda Pública. IGIC Repercutido","Hacienda Pública. IGIC Repercutido","Hacienda Pública. IGIC Repercutido",4777,"liability_current","False"
"account_full_canary_490","Deterioro de valor de créditos por operaciones comerciales","Deterioro de valor de créditos por operaciones comerciales","Deterioro de valor de créditos por operaciones comerciales",490,"liability_current","False"

"account_full_canary_501","Obligaciones y bonos convertibles a corto plazo","Obligaciones y bonos convertibles a corto plazo","Obligaciones y bonos convertibles a corto plazo","501","liability_current","False"
"account_full_canary_502","Current liability-classified shares or equity holdings","Acciones o participaciones a corto plazo consideradas como pasivos financieros","Accions o participacions a curt termini considerades passius financers","502","liability_current","False"
"account_full_canary_5091","Obligaciones y bonos convertibles amortizados","Obligaciones y bonos convertibles amortizados","Obligaciones y bonos convertibles amortizados","5091","liability_current","True"
"account_full_canary_521","Current payables","Deudas a corto plazo","Deutes a curt termini","521","liability_current","False"
"account_full_canary_526","Dividend payable","Dividendo activo a pagar","Dividend actiu a pagar","526","liability_payable","True"
"account_full_canary_5296","Provisión a corto plazo para reestructuraciones de patrimonio","Provisión a corto plazo para reestructuraciones de patrimonio","Provisión a corto plazo para reestructuraciones de patrimonio","5296","liability_current","True"
"account_full_canary_5297","Provisión a corto plazo por transacciones con pagos basados en instrumentos","Provisión a corto plazo por transacciones con pagos basados en instrumentos","Provisión a corto plazo por transacciones con pagos basados en instrumentos","5297","liability_current","True"
"account_full_canary_551","Cuenta corriente con socios y administradores","Cuenta corriente con socios y administradores","Cuenta corriente con socios y administradores",551,"asset_current","False"
"account_full_canary_553","Socios de sociedad disuelta","Socios de sociedad disuelta","Socios de sociedad disuelta",553,"liability_current","False"
"account_full_canary_5531","Socios, cuenta de fusión","Socios, cuenta de fusión","Socios, cuenta de fusión",5531,"asset_current","False"
"account_full_canary_5532","Socios de sociedad escindida","Socios de sociedad escindida","Socios de sociedad escindida",5532,"liability_current","False"
"account_full_canary_5533","Socios, cuenta de escisión","Socios, cuenta de escisión","Socios, cuenta de escisión",5533,"asset_current","False"
"account_full_canary_5585","Receivable on called-up liability-classified shares or equity holdings","Socios por desembolsos exigidos sobre acciones o participaciones consideradas como pasivos financieros","Socis per desemborsaments exigits sobre accions o participacions considerades passius financers","5585","liability_current","False"
"account_full_canary_5593","Activos por derivados financieros a corto plazo, instrumentos de cobertura","Activos por derivados financieros a corto plazo, instrumentos de cobertura","Activos por derivados financieros a corto plazo, instrumentos de cobertura","5593","asset_current","False"
"account_full_canary_5598","Pasivos por derivados financieros a corto plazo, instrumentos de cobertura","Pasivos por derivados financieros a corto plazo, instrumentos de cobertura","Pasivos por derivados financieros a corto plazo, instrumentos de cobertura","5598","liability_current","False"
"account_full_canary_569","Garantías financieras a corto plazo","Garantías financieras a corto plazo","Garantías financieras a corto plazo","569","liability_current","False"
"account_full_canary_580","Inmovilizado","Inmovilizado","Inmovilizado","580","asset_current","False"
"account_full_canary_581","Inversiones con personas y entidades vinculadas","Inversiones con personas y entidades vinculadas","Inversiones con personas y entidades vinculadas","581","asset_current","False"
"account_full_canary_582","Inversiones financieras","Inversiones financieras","Inversiones financieras","582","asset_current","False"
"account_full_canary_583","Existencias, deudores comerciales y otras cuentas a cobrar","Existencias, deudores comerciales y otras cuentas a cobrar","Existencias, deudores comerciales y otras cuentas a cobrar","583","asset_current","False"
"account_full_canary_584","Otros activos","Otros activos","Otros activos","584","asset_current","False"
"account_full_canary_585","Provisiones","Provisiones","Provisiones","585","liability_current","False"
"account_full_canary_586","Deudas con características especiales","Deudas con características especiales","Deudas con características especiales","586","liability_current","False"
"account_full_canary_587","Deudas con personas y entidades vinculadas","Deudas con personas y entidades vinculadas","Deudas con personas y entidades vinculadas","587","liability_current","False"
"account_full_canary_588","Acreedores comerciales y otras cuentas a pagar","Acreedores comerciales y otras cuentas a pagar","Acreedores comerciales y otras cuentas a pagar","588","liability_current","False"
"account_full_canary_589","Otros pasivos","Otros pasivos","Otros pasivos","589","liability_current","False"
"account_full_canary_5935","Deterioro de valor de participaciones a corto plazo en otras partes vinculadas","Deterioro de valor de participaciones a corto plazo en otras partes vinculadas","Deterioro de valor de participaciones a corto plazo en otras partes vinculadas",5935,"asset_current","False"
"account_full_canary_596","Deterioro de valor de participaciones a corto plazo","Deterioro de valor de participaciones a corto plazo","Deterioro de valor de participaciones a corto plazo",596,"asset_current","False"
"account_full_canary_599","Deterioro de valor de inmovilizado no corriente mantenido para la venta","Deterioro de valor de inmovilizado no corriente mantenido para la venta","Deterioro de valor de inmovilizado no corriente mantenido para la venta",599,"asset_current","False"
"account_full_canary_5991","Deterioro de valor de inversiones y entidades vinculadas no corrientes mantenidas para la venta","Deterioro de valor de inversiones y entidades vinculadas no corrientes mantenidas para la venta","Deterioro de valor de inversiones y entidades vinculadas no corrientes mantenidas para la venta",5991,"asset_current","False"
"account_full_canary_5992","Deterioro de valor de inversiones financieras no corrientes mantenidas para la venta","Deterioro de valor de inversiones financieras no corrientes mantenidas para la venta","Deterioro de valor de inversiones financieras no corrientes mantenidas para la venta",5992,"asset_current","False"
"account_full_canary_5993","Deterioro de valor de existencias, deudores comerciales y otras cuentas a cobrar integrados en un grupo enajenable mantenido para la venta","Deterioro de valor de existencias, deudores comerciales y otras cuentas a cobrar integrados en un grupo enajenable mantenido para la venta","Deterioro de valor de existencias, deudores comerciales y otras cuentas a cobrar integrados en un grupo enajenable mantenido para la venta",5993,"asset_current","False"
"account_full_canary_5994","Deterioro de valor de otros activos mantenidos para la venta","Deterioro de valor de otros activos mantenidos para la venta","Deterioro de valor de otros activos mantenidos para la venta",5994,"asset_current","False"

"account_full_canary_6343","Ajustes negativos en IGIC de circulante","Ajustes negativos en IGIC de circulante","Ajustes negativos en IGIC de circulante",6343,"expense","False"
"account_full_canary_6344","Ajustes negativos en IGIC de inversión","Ajustes negativos en IGIC de inversión","Ajustes negativos en IGIC de inversión",6344,"expense","False"
"account_full_canary_6393","Ajustes positivos en IGIC de circulante","Ajustes positivos en IGIC de circulante","Ajustes positivos en IGIC de circulante",6393,"expense","False"
"account_full_canary_6394","Ajustes positivos en IGIC de inversión","Ajustes positivos en IGIC de inversión","Ajustes positivos en IGIC de inversión",6394,"expense","False"
"account_full_canary_643","Retribuciones mediante sistemas de aportación definida","Retribuciones mediante sistemas de aportación definida","Retribuciones mediante sistemas de aportación definida",643,"expense","False"
"account_full_canary_644","Contribuciones anuales","Contribuciones anuales","Contribuciones anuales",644,"expense","False"
"account_full_canary_6442","Otros costes","Otros costes","Otros costes",6442,"expense","False"
"account_full_canary_645","Retribuciones al personal liquidados con instrumentos de patrimonio","Retribuciones al personal liquidados con instrumentos de patrimonio","Retribuciones al personal liquidados con instrumentos de patrimonio",645,"expense","False"
"account_full_canary_6457","Retribuciones al personal liquidados en efectivo basado en instrumentos de patrimonio","Retribuciones al personal liquidados en efectivo basado en instrumentos de patrimonio","Retribuciones al personal liquidados en efectivo basado en instrumentos de patrimonio",6457,"expense","False"
"account_full_canary_650","Pérdidas de créditos comerciales incobrables","Pérdidas de créditos comerciales incobrables","Pérdidas de créditos comerciales incobrables",650,"expense","False"
"account_full_canary_651","Beneficio transferido (gestor)","Beneficio transferido (gestor)","Beneficio transferido (gestor)",651,"expense","False"
"account_full_canary_6511","Pérdida soportada (partícipe o asociado no gestor)","Pérdida soportada (partícipe o asociado no gestor)","Pérdida soportada (partícipe o asociado no gestor)",6511,"expense","False"
"account_full_canary_659","Otras pérdidas en gestión corriente","Otras pérdidas en gestión corriente","Otras pérdidas en gestión corriente",659,"expense","False"
"account_full_canary_663","Pérdidas de cartera de negociación","Pérdidas de cartera de negociación","Pérdidas de cartera de negociación",663,"expense","False"
"account_full_canary_6631","Pérdidas de designados por la empresa","Pérdidas de designados por la empresa","Pérdidas de designados por la empresa",6631,"expense","False"
"account_full_canary_6632","Pérdidas de disponibles para la venta","Pérdidas de disponibles para la venta","Pérdidas de disponibles para la venta",6632,"expense","False"
"account_full_canary_6633","Pérdidas de instrumentos de cobertura","Pérdidas de instrumentos de cobertura","Pérdidas de instrumentos de cobertura",6633,"expense","False"
"account_full_canary_671","Pérdidas procedentes del inmovilizado material","Pérdidas procedentes del inmovilizado material","Pérdidas procedentes del inmovilizado material",671,"expense","False"
"account_full_canary_691","Pérdidas por deterioro del inmovilizado material","Pérdidas por deterioro del inmovilizado material","Pérdidas por deterioro del inmovilizado material",691,"expense","False"
"account_full_canary_694","Pérdidas por deterioro de créditos por operaciones comerciales","Pérdidas por deterioro de créditos por operaciones comerciales","Pérdidas por deterioro de créditos por operaciones comerciales",694,"expense","False"

"account_full_canary_763","Beneficios de cartera de negociación","Beneficios de cartera de negociación","Beneficios de cartera de negociación",763,"income","False"
"account_full_canary_7631","Beneficios de designados por la empresa","Beneficios de designados por la empresa","Beneficios de designados por la empresa",7631,"income","False"
"account_full_canary_7632","Beneficios de disponibles para la venta","Beneficios de disponibles para la venta","Beneficios de disponibles para la venta",7632,"income","False"
"account_full_canary_7633","Beneficios de instrumentos de cobertura","Beneficios de instrumentos de cobertura","Beneficios de instrumentos de cobertura",7633,"income","False"
"account_full_canary_767","Ingresos de activos afectos y de derechos de reembolso relativos a retribuciones a largo plazo","Ingresos de activos afectos y de derechos de reembolso relativos a retribuciones a largo plazo","Ingresos de activos afectos y de derechos de reembolso relativos a retribuciones a largo plazo",767,"income","False"
"account_full_canary_774","Diferencia negativa en combinaciones de negocios","Diferencia negativa en combinaciones de negocios","Diferencia negativa en combinaciones de negocios",774,"income","False"
"account_full_canary_791","Reversión del deterioro del inmovilizado material","Reversión del deterioro del inmovilizado material","Reversión del deterioro del inmovilizado material",791,"income","False"
"account_full_canary_794","Reversión del deterioro de créditos por operaciones comerciales","Reversión del deterioro de créditos por operaciones comerciales","Reversión del deterioro de créditos por operaciones comerciales",794,"income","False"
"account_full_canary_795","Exceso de provisión por retribuciones al personal","Exceso de provisión por retribuciones al personal","Exceso de provisión por retribuciones al personal",795,"income","False"
"account_full_canary_7956","Exceso de provisión para reestructuraciones","Exceso de provisión para reestructuraciones","Exceso de provisión para reestructuraciones",7956,"income","False"
"account_full_canary_7957","Exceso de provisión por transacciones con pagos basados en instrumentos de patrimonio","Exceso de provisión por transacciones con pagos basados en instrumentos de patrimonio","Exceso de provisión por transacciones con pagos basados en instrumentos de patrimonio",7957,"income","False"
"account_full_canary_7962","Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras partes vinculadas","Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras partes vinculadas","Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras partes vinculadas",7962,"income","False"
"account_full_canary_7963","Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras empresas","Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras empresas","Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras empresas",7963,"income","False"

"account_full_canary_800","Pérdidas en activos financieros disponibles para la venta","Pérdidas en activos financieros disponibles para la venta","Pérdidas en activos financieros disponibles para la venta",800,"expense","False"
"account_full_canary_802","Transferencia de beneficios en activos financieros disponibles para la venta","Transferencia de beneficios en activos financieros disponibles para la venta","Transferencia de beneficios en activos financieros disponibles para la venta",802,"expense","False"
"account_full_canary_810","Pérdidas por coberturas de flujos de efectivo","Pérdidas por coberturas de flujos de efectivo","Pérdidas por coberturas de flujos de efectivo",810,"expense","False"
"account_full_canary_811","Pérdidas por coberturas de inversiones netas en un negocio en el extranjero","Pérdidas por coberturas de inversiones netas en un negocio en el extranjero","Pérdidas por coberturas de inversiones netas en un negocio en el extranjero",811,"expense","False"
"account_full_canary_812","Transferencia de beneficios por coberturas de flujos de efectivo","Transferencia de beneficios por coberturas de flujos de efectivo","Transferencia de beneficios por coberturas de flujos de efectivo",812,"expense","False"
"account_full_canary_813","Transferencia de beneficios por coberturas de inversiones netas en un negocio en el extranjero","Transferencia de beneficios por coberturas de inversiones netas en un negocio en el extranjero","Transferencia de beneficios por coberturas de inversiones netas en un negocio en el extranjero",813,"expense","False"
"account_full_canary_820","Diferencias de conversión negativas","Diferencias de conversión negativas","Diferencias de conversión negativas",820,"expense","False"
"account_full_canary_821","Transferencia de diferencias de conversión positivas","Transferencia de diferencias de conversión positivas","Transferencia de diferencias de conversión positivas",821,"expense","False"
"account_full_canary_830","Impuesto corriente","Impuesto corriente","Impuesto corriente",830,"expense","False"
"account_full_canary_8301","Impuesto diferido","Impuesto diferido","Impuesto diferido",8301,"expense","False"
"account_full_canary_833","Ajustes negativos en la imposición sobre beneficios","Ajustes negativos en la imposición sobre beneficios","Ajustes negativos en la imposición sobre beneficios",833,"expense","False"
"account_full_canary_834","Ingresos fiscales por diferencias permanentes","Ingresos fiscales por diferencias permanentes","Ingresos fiscales por diferencias permanentes",834,"expense","False"
"account_full_canary_835","Ingresos fiscales por deducciones y bonificaciones","Ingresos fiscales por deducciones y bonificaciones","Ingresos fiscales por deducciones y bonificaciones",835,"expense","False"
"account_full_canary_836","Transferencia de diferencias permanentes","Transferencia de diferencias permanentes","Transferencia de diferencias permanentes",836,"expense","False"
"account_full_canary_837","Transferencia de deducciones y bonificaciones","Transferencia de deducciones y bonificaciones","Transferencia de deducciones y bonificaciones",837,"expense","False"
"account_full_canary_838","Ajustes positivos en la imposición sobre beneficios","Ajustes positivos en la imposición sobre beneficios","Ajustes positivos en la imposición sobre beneficios",838,"expense","False"
"account_full_canary_840","Transferencia de subvenciones oficiales de capital","Transferencia de subvenciones oficiales de capital","Transferencia de subvenciones oficiales de capital",840,"expense","False"
"account_full_canary_841","Transferencia de donaciones y legados de capital","Transferencia de donaciones y legados de capital","Transferencia de donaciones y legados de capital",841,"expense","False"
"account_full_canary_842","Transferencia de otras subvenciones, donaciones y legados","Transferencia de otras subvenciones, donaciones y legados","Transferencia de otras subvenciones, donaciones y legados",842,"expense","False"
"account_full_canary_850","Pérdidas actuariales","Pérdidas actuariales","Pérdidas actuariales",850,"expense","False"
"account_full_canary_851","Ajustes negativos en activos por retribuciones a largo plazo de prestación definida","Ajustes negativos en activos por retribuciones a largo plazo de prestación definida","Ajustes negativos en activos por retribuciones a largo plazo de prestación definida",851,"expense","False"
"account_full_canary_860","Pérdidas en activos no corrientes y grupos enajenables de elementos mantenidos para la venta","Pérdidas en activos no corrientes y grupos enajenables de elementos mantenidos para la venta","Pérdidas en activos no corrientes y grupos enajenables de elementos mantenidos para la venta",860,"expense","False"
"account_full_canary_862","Transferencia de beneficios en activos no corrientes y grupos enajenables de elementos mantenidos para la venta","Transferencia de beneficios en activos no corrientes y grupos enajenables de elementos mantenidos para la venta","Transferencia de beneficios en activos no corrientes y grupos enajenables de elementos mantenidos para la venta",862,"expense","False"
"account_full_canary_891","Deterioro de participaciones en el patrimonio, empresas del grupo","Deterioro de participaciones en el patrimonio, empresas del grupo","Deterioro de participaciones en el patrimonio, empresas del grupo",891,"expense_depreciation","False"
"account_full_canary_892","Deterioro de participaciones en el patrimonio, empresas asociadas","Deterioro de participaciones en el patrimonio, empresas asociadas","Deterioro de participaciones en el patrimonio, empresas asociadas",892,"expense_depreciation","False"

"account_full_canary_900","Beneficios en activos financieros disponibles para la venta","Beneficios en activos financieros disponibles para la venta","Beneficios en activos financieros disponibles para la venta",900,"income","False"
"account_full_canary_902","Transferencia de pérdidas en activos financieros disponibles para la venta","Transferencia de pérdidas en activos financieros disponibles para la venta","Transferencia de pérdidas en activos financieros disponibles para la venta",902,"income","False"
"account_full_canary_910","Beneficios por coberturas de flujos de efectivo","Beneficios por coberturas de flujos de efectivo","Beneficios por coberturas de flujos de efectivo",910,"income","False"
"account_full_canary_911","Beneficios por coberturas de inversiones netas en un negocio en el extranjero","Beneficios por coberturas de inversiones netas en un negocio en el extranjero","Beneficios por coberturas de inversiones netas en un negocio en el extranjero",911,"income","False"
"account_full_canary_912","Transferencia de pérdidas por coberturas de flujos de efectivo","Transferencia de pérdidas por coberturas de flujos de efectivo","Transferencia de pérdidas por coberturas de flujos de efectivo",912,"income","False"
"account_full_canary_913","Transferencia de pérdidas por coberturas de inversiones netas en un negocio en el extranjero","Transferencia de pérdidas por coberturas de inversiones netas en un negocio en el extranjero","Transferencia de pérdidas por coberturas de inversiones netas en un negocio en el extranjero",913,"income","False"
"account_full_canary_920","Diferencias de conversión positivas","Diferencias de conversión positivas","Diferencias de conversión positivas",920,"income","False"
"account_full_canary_921","Transferencia de diferencias de conversión negativas","Transferencia de diferencias de conversión negativas","Transferencia de diferencias de conversión negativas",921,"income","False"
"account_full_canary_940","Ingresos de subvenciones oficiales de capital","Ingresos de subvenciones oficiales de capital","Ingresos de subvenciones oficiales de capital",940,"income","False"
"account_full_canary_941","Ingresos de donaciones y legados de capital","Ingresos de donaciones y legados de capital","Ingresos de donaciones y legados de capital",941,"income","False"
"account_full_canary_942","Ingresos de otras subvenciones, donaciones y legados","Ingresos de otras subvenciones, donaciones y legados","Ingresos de otras subvenciones, donaciones y legados",942,"income","False"
"account_full_canary_950","Ganancias actuariales","Ganancias actuariales","Ganancias actuariales",950,"income","False"
"account_full_canary_951","Ajustes positivos en activos por retribuciones a largo plazo de prestación definida","Ajustes positivos en activos por retribuciones a largo plazo de prestación definida","Ajustes positivos en activos por retribuciones a largo plazo de prestación definida",951,"income","False"
"account_full_canary_960","Beneficios en activos no corrientes y grupos enajenables de elementos mantenidos para la venta","Beneficios en activos no corrientes y grupos enajenables de elementos mantenidos para la venta","Beneficios en activos no corrientes y grupos enajenables de elementos mantenidos para la venta",960,"income","False"
"account_full_canary_962","Transferencia de pérdidas en activos no corrientes y grupos enajenables de elementos mantenidos para la venta","Transferencia de pérdidas en activos no corrientes y grupos enajenables de elementos mantenidos para la venta","Transferencia de pérdidas en activos no corrientes y grupos enajenables de elementos mantenidos para la venta",962,"income","False"
"account_full_canary_991","Recuperación de ajustes valorativos negativos previos, empresas del grupo","Recuperación de ajustes valorativos negativos previos, empresas del grupo","Recuperación de ajustes valorativos negativos previos, empresas del grupo",991,"income","False"
"account_full_canary_992","Recuperación de ajustes valorativos negativos previos, empresas asociadas","Recuperación de ajustes valorativos negativos previos, empresas asociadas","Recuperación de ajustes valorativos negativos previos, empresas asociadas",992,"income","False"
"account_full_canary_993","Transferencia por deterioro de ajustes valorativos negativos previos, empresas del grupo","Transferencia por deterioro de ajustes valorativos negativos previos, empresas del grupo","Transferencia por deterioro de ajustes valorativos negativos previos, empresas del grupo",993,"income","False"
"account_full_canary_994","Transferencia por deterioro de ajustes valorativos negativos previos, empresas asociadas","Transferencia por deterioro de ajustes valorativos negativos previos, empresas asociadas","Transferencia por deterioro de ajustes valorativos negativos previos, empresas asociadas",994,"income","False"
