id,alignment,apply_sign,conditional_expression,decimal_size,export_config_id:id,export_type,expression,fixed_value,name,sequence,size,subconfig_id:id
aeat_mod390_2021_sub06_export_line_29,"right","False",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","9. Resultado de las liquidaciones - Total resultados negativos del ejercicio (modelo 322) [526]","29","17",
aeat_mod390_2021_sub06_export_line_30,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float","${object.tax_line_ids.filtered(lambda r: r.field_number == 99).amount}",,"10. Volumen de operaciones - Operaciones en régimen general [99]","30","17",
aeat_mod390_2021_sub06_export_line_31,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","10. Volumen de operaciones - Operaciones régimen especial del criterio de caja [653]","31","17",
aeat_mod390_2021_sub06_export_line_32,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float","${object.tax_line_ids.filtered(lambda r: r.field_number == 103).amount}",,"10. Volumen de operaciones - Entregas intracomunitarias de bienes y servicios [103]","32","17",
aeat_mod390_2021_sub06_export_line_33,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float","${object.tax_line_ids.filtered(lambda r: r.field_number == 104).amount}",,"10. Volumen de operaciones - Exportaciones y otras operaciones exentas con derecho a deducción [104]","33","17",
aeat_mod390_2021_sub06_export_line_34,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float","${object.tax_line_ids.filtered(lambda r: r.field_number == 105).amount}",,"10. Volumen de operaciones - Operaciones exentas sin derecho a deducción [105]","34","17",
aeat_mod390_2021_sub06_export_line_35,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float","${object.tax_line_ids.filtered(lambda r: r.field_number == 110).amount}","0","10. Volumen de operaciones - Operaciones no sujetas por reglas de localización (excepto las incluidas en la casilla 126) [110]","35","17",
aeat_mod390_2021_sub06_export_line_36,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","10. Volumen de operaciones - Operaciones sujetas con inversión del sujeto pasivo [125]","36","17",
aeat_mod390_2021_sub06_export_line_37,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","10. Volumen de operaciones - OSS. Operaciones no sujetas por reglas de localización acogidas a la OSS [126]","37","17",
aeat_mod390_2021_sub06_export_line_38,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","10. Volumen de operaciones - OSS. Operaciones sujetas y acogidas a la OSS [127]","38","17",
aeat_mod390_2021_sub06_export_line_39,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","10. Volumen de operaciones - Operaciones intragrupo valoradas conforme a lo dispuesto en los arts. 78 y 79 LIVA [128]","39","17",
aeat_mod390_2021_sub06_export_line_40,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","10. Volumen de operaciones - Operaciones en régimen simplificado [100]","40","17",
aeat_mod390_2021_sub06_export_line_41,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","10. Volumen de operaciones - Operaciones en régimen especias de la agricultura, ganadería y pesca [101]","41","17",
aeat_mod390_2021_sub06_export_line_42,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float","${object.tax_line_ids.filtered(lambda r: r.field_number == 102).amount}",,"10. Volumen de operaciones - Operaciones en régimen especial del recargo de equivalencia [102].","42","17",
aeat_mod390_2021_sub06_export_line_43,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","10. Volumen de operaciones - Operaciones en régimen especias de bienes usados, objetos de arte, antigüedades y objetos de colección [227].","43","17",
aeat_mod390_2021_sub06_export_line_44,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","10. Volumen de operaciones - Operaciones en régimen especial de agencias de viajes [228].","44","17",
aeat_mod390_2021_sub06_export_line_45,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","10. Volumen de operaciones - Entrega de bienes inmuebles y operaciones financieras no habituales [106]","45","17",
aeat_mod390_2021_sub06_export_line_46,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float",,"0","10. Volumen de operaciones - Entrega de bienes de inversion [107]","46","17",
aeat_mod390_2021_sub06_export_line_47,"right","True",,"2","aeat_mod390_2021_sub06_export_config","float","${object.casilla_108}",,"10. Volumen de operaciones - Total volumen de operaciones [108]","47","17",
aeat_mod390_2021_sub06_export_line_48,"left",,,,"aeat_mod390_2021_sub06_export_config","string",,,"Reservado para la A.E.A.T. (Dejar en blanco)","48","150",
aeat_mod390_2021_sub06_export_line_49,"left",,,,"aeat_mod390_2021_sub06_export_config","string",,"</T39006000>","Indicador de fin de registro: </T39006000>","49","12",
