id,name,lname,code,bic,street,street2,website,vat,city,zip,phone,active,state:id,country:id
res_bank_es_8221,Corp.Hip.Mutual,"Corporacion Hipotecaria Mutual, Sociedad Anonima, Establecimiento Financiero De Credito",8221,,"Av. Diagonal, 611",,,A58353418,Barcelona,8028,934873315,1,base.state_es_b,base.es
res_bank_es_8235,Bilbao Hipotec.,"Bilbao Hipotecaria, S.A., Establecimiento Financiero De Credito",8235,,"Ps. Puerto, 20",,,A48409023,Neguri - Getxo,48992,944898383,1,base.state_es_bi,base.es
res_bank_es_8342,Luzaro,"Luzaro Establecimiento Financiero De Credito, Sociedad Anonima",8342,,"Av. Libertad, 10",Pl. 7,,A48050728,San Sebastian,20004,943420108,1,base.state_es_ss,base.es
res_bank_es_8793,Finanmadrid,"Finanmadrid, S.A., Establecimiento Financiero De Credito",8793,,"Cl. Doctor Esquerdo, 138",,www.finanmadrid.es,A79412771,Madrid,28007,917796802,1,base.state_es_m,base.es
res_bank_es_8795,Carrefour,"Servicios Financieros Carrefour, Establecimiento Financiero De Credito, S.A.",8795,,"Cl. Juan Esplandiu, 11",,www.carrefour.es,A79456232,Madrid,28007,913891500,1,base.state_es_m,base.es
res_bank_es_8798,Eurocredito,"Euro Credito Establecimiento Financiero De Credito, S.A.",8798,,"Cl. Retama, 3",,www.eurocredito.es,A79860508,Madrid,28045,913370700,1,base.state_es_m,base.es
res_bank_es_8823,Findirect,"Financiera Española De Credito A Distancia, E.F.C., S.A.",8823,,"Av. Fuente De La Mora, 4",,,A84101682,Madrid,28050,918377810,1,base.state_es_m,base.es
res_bank_es_8828,Ios Finance,"Ios Finance E.F.C., S.A.",8828,,"Cl. Manila, 57",Bajo Pta. B,,A64512759,Barcelona,8034,935114025,1,base.state_es_b,base.es
res_bank_es_8829,Komatsu Fin.Efc,"Komatsu Financial Spain, E.F.C., S.A.",8829,,"Cl. Jose Bardasano Baos, 9",Pl. 5,,A85075596,Madrid,28016,913848155,1,base.state_es_m,base.es
res_bank_es_8903,Popular Fact.,"Popular De Factoring, Sociedad Anonima, Establecimiento Financiero De Credito",8903,,"Cl. Labastida, 11",Pl. 2,www.populardefactoring.es,A08198103,Madrid,28034,914118321,1,base.state_es_m,base.es
res_bank_es_8905,Barclays,"Barclays Factoring, S.A., Establecimiento Financiero De Credito",8905,,"Ps. Castellana, 89",,,A78063690,Madrid,28046,915562804,1,base.state_es_m,base.es
res_bank_es_0131,Espirito Santo,"Banco Espirito Santo, S.A., Sucursal En España",0131,BESMESMMXXX,"Cl. Serrano, 88",,www.bes.es,W0102800J,Madrid,28006,914005000,1,base.state_es_m,base.es
res_bank_es_0152,"Barclays, S.E.","Barclays Bank Plc, Sucursal En España",0152,BPLCESMMXXX,"Pz. De Colon, 1",,,W0061418J,Madrid,28046,913361000,1,base.state_es_m,base.es
res_bank_es_0156,Royal Bank,The Royal Bank Of Scotland N.V. Sucursal En España,0156,ABNAESMMXXX,"Cl. Jose Ortega Y Gasset, 29",Pl. 5,,W0031021I,Madrid,28006,914236900,1,base.state_es_m,base.es
res_bank_es_0159,Commerzbank,"Commerzbank Aktiengesellschaft, Sucursal En España",0159,COBAESMXXXX,"Ps. De La Castellana, 110",,,W0041282E,Madrid,28046,915724700,1,base.state_es_m,base.es
res_bank_es_0162,Hsbc Bank,"Hsbc Bank Plc, Sucursal En España",0162,MIDLESMMXXX,"Pz. Pablo Ruiz Picasso, 0","Pl.33, Torre Picasso",,W0061401F,Madrid,28020,914566100,1,base.state_es_m,base.es
res_bank_es_0167,Fortis Bank,"Fortis Bank, S.A., Sucursal En España",0167,GEBAESMMXXX,"Cl. Serrano, 73",,www.fortisbank.com,W0021127F,Madrid,28006,914365600,1,base.state_es_m,base.es
res_bank_es_0168,Ing Belgium Se,"Ing Belgium, S.A., Sucursal En España",0168,BBRUESMXXXX,"Cl. Genova, 27",,,W0021126H,Madrid,28004,917898900,1,base.state_es_m,base.es
res_bank_es_0190,"Banco Bpi, S.E.","Banco Bpi, S.A., Sucursal En España",0190,BBPIESMMXXX,"Ps. De La Castellana, 40",Bis,,W0401036I,Madrid,28046,913289800,1,base.state_es_m,base.es
res_bank_es_0196,Westlb,"Westlb Ag, Sucursal En España",0196,WELAESMMXXX,"Cl. Serrano, 37",Pl. 5,www.westlb.com,W0041901J,Madrid,28001,914328000,1,base.state_es_m,base.es
res_bank_es_0218,Fce Bank,Fce Bank Plc Sucursal En España,0218,FCEFESM1XXX,"Cl. Calendula, 13",,,W0063712D,Alcobendas,28109,917145317,1,base.state_es_m,base.es
res_bank_es_1451,Credit Sudmed,"Caisse Regionale De Credit Agricole Mutuel Sud Mediterranee (Ariege Et Pyrenees Orientales), S.E.",1451,CRCGESB1XXX,"Cl. Corcega, 301",,,W0011887G,Barcelona,8008,932179900,1,base.state_es_b,base.es
res_bank_es_1457,Lage Landen Int,"De Lage Landen International B.V., Sucursal En España",1457,LLISESM1XXX,"Cl. Jose Bardasano Baos, 9","Pl. 5, Edif.Gorbea 3",,W0031602F,Madrid,28016,913846600,1,base.state_es_m,base.es
res_bank_es_1459,Rabobank Nederl,"Cooperatieve Centrale Raiffeisen- Boerenleenbank B.A. (Rabobank Nederland), Sucursal En España",1459,PRABESMMXXX,"Cl. Rafael Calvo, 39",Pl. 1,,W0031750C,Madrid,28010,914364010,1,base.state_es_m,base.es
res_bank_es_1463,Psa Finance,"Banque Psa Finance, Sucursal En España",1463,PSABESM1XXX,"Cl. Julian Camarillo, 6",Pl. 1,,W0012543E,Madrid,28037,902114701,1,base.state_es_m,base.es
res_bank_es_1465,Ing Direct,"Ing Direct, N.V. Sucursal En España",1465,INGDESMMXXX,"Cl. Severo Ochoa, 2",P.E.Madrid-Las Rozas,www.ingdirect.es,W0032177H,Las Rozas,28230,916349200,1,base.state_es_m,base.es
res_bank_es_1467,Eurohypo,"Eurohypo A.G., Sucursal En España",1467,EHYPESMXXXX,"Ps. De La Castellana, 110",Pl. 7,www.eurohypo.com,W0042233G,Madrid,28046,917877450,1,base.state_es_m,base.es
res_bank_es_1469,Banco Sygma,"Banco Sygma Hispania, Sucursal En España",1469,SHSAESM1XXX,"Cl. Albasanz, 16",,www.mediatis.es,W0012769F,Madrid,28037,913753500,1,base.state_es_m,base.es
res_bank_es_1470,Bpi,"Banco Portugues De Investimento, S.A. Sucursal En España",1470,BPIPESM1XXX,"Ps. De La Castellana, 40",Bis - Pl. 3,,W0101346E,Madrid,28046,917814603,1,base.state_es_m,base.es
res_bank_es_1472,Ca-Leasing,"Credit Agricole Leasing & Factoring, Sucursal En España",1472,UCSSESM1XXX,"Ps. De La Castellana, 1",Bajo,,W0012760E,Madrid,28046,917820210,1,base.state_es_m,base.es
res_bank_es_1473,Edmond Rothschi,"Banque Privee Edmond De Rothschild Europe, Sucursal En España",1473,PRIBESMXXXX,"Ps. De La Castellana, 55",,,W1081034I,Madrid,28046,913646600,1,base.state_es_m,base.es
res_bank_es_1474,Citibank Inter.,"Citibank International Plc, Sucursal En España",1474,CITIESMXXXX,"Cl. Jose Ortega Y Gasset, 29",Edificio Beatriz,,W0066134H,Madrid,28006,915384100,1,base.state_es_m,base.es
res_bank_es_1480,Volkswagen Bank,"Volkswagen Bank Gmbh, Sucursal En España",1480,VOWAES21XXX,"Av. De Bruselas, 34",,www.vwbstock.com,W0042741I,Alcobendas,28108,914535100,1,base.state_es_m,base.es
res_bank_es_1481,Banco Mais,"Banco Mais, S.A. (Espanha), Sucursal En España",1481,,"Av. Del Partenon, 0",Campo Naciones,,W0101570J,Madrid,28042,913848400,1,base.state_es_m,base.es
res_bank_es_1482,John Deere,"John Deere Bank, S.A., Sucursal En España",1482,,". Bulevar John Deere, 2",,,N1181021E,Parla,28984,916009558,1,base.state_es_m,base.es
res_bank_es_1491,Triodos Bank,"Triodos Bank, N.V., S.E.",1491,TRIOESMMXXX,"Cl. Jose Echegaray, 5",Pq. Emp.Las Rozas,www.triodos.es,W0032597G,Las Rozas,28230,916404684,1,base.state_es_m,base.es
res_bank_es_1492,Bnp Paribas,Bnp Paribas Lease Group S.A. Sucursal En España,1492,,"Cl. Retama, 3",,,W0013547E,Madrid,28045,914682048,1,base.state_es_m,base.es
res_bank_es_1493,Caixabi,"Caixa Banco De Investimento, S.A. Sucursal En España",1493,,"Ps. De La Castellana, 21",Pl. 1 Izda.,,W0101947J,Madrid,28046,917450540,1,base.state_es_m,base.es
res_bank_es_1496,Genefim,"Genefim, Sucursal En España",1496,,"Pz. Pablo Ruiz Picasso, 1",Torre Picasso,,N0011685E,Madrid,28020,915893967,1,base.state_es_m,base.es
res_bank_es_1494,Intesa Sanpaolo,"Intesa Sanpaolo S.P.A., Sucursal En España",1494,BCITESMMXXX,"Ps. De La Castellana, 31","Edif. Piramide, 7Ç A",,W0051962I,Madrid,28046,913106330,1,base.state_es_m,base.es
res_bank_es_1497,Besi,"Banco Espirito Santo De Investimento, S.A., Sucursal En España",1497,ESSIESMMXXX,"Cl. Serrano, 88",Pl. 4,,W0102170H,Madrid,28006,0,1,base.state_es_m,base.es
res_bank_es_1499,Claas Financial,"Claas Financial Services, S.A.S., Sucursal En España",1499,,"Cl. Retama, 3",,,W0014060H,Madrid,28045,914682048,1,base.state_es_m,base.es
res_bank_es_1500,Natixis Lease,"Natixis Lease, S.A., Sucursal En España",1500,,"Ps. De Recoletos, 0",Pl. 6,,W0013984J,Madrid,28004,918374717,1,base.state_es_m,base.es
res_bank_es_1501,Deutsche Pfandb,"Deutsche Pfandbriefbank Ag, Sucursal En España",1501,DPBBESM1XXX,"Cl. Montesquinza, 30",Pl. 4,,W0046318B,Madrid,28010,913493200,1,base.state_es_m,base.es
res_bank_es_1502,Ikb Deutsche,"Ikb Deutsche Industriebank Ag, Sucursal En España",1502,IKBDESM1XXX,"Ps. De La Castellana, 0",,,W0044204F,Madrid,28046,917001063,1,base.state_es_m,base.es
res_bank_es_1504,Honda Bank,"Honda Bank Gmbh, Sucursal En España",1504,,"Cl. La Selva, 4",Urb. Mas Blau,,W0044283J,El Prat De Llobregat,8820,933780082,1,base.state_es_b,base.es
res_bank_es_1505,Europe Arab Ban,"Europe Arab Bank Plc, Sucursal En España",1505,ARABESMMXXX,"Ps. De La Castellana, 31",Pl. Baja,,W0068902F,Madrid,28046,913084290,1,base.state_es_m,base.es
res_bank_es_1506,Merrill Lynch,"Merrill Lynch International Bank Limited, Sucursal En España",1506,MLCBESM1XXX,"Pz. Pablo Ruiz Picasso, 1",Torre Picasso,,W0071747J,Madrid,28020,915143000,1,base.state_es_m,base.es
res_bank_es_1508,Rci Banque,"Rci Banque, S.A., Sucursal En España",1508,,"Av. De Burgos, 0",,,W0014596A,Madrid,28050,902137137,1,base.state_es_m,base.es
res_bank_es_1509,Banco Primus,"Banco Primus, S.A., Sucursal En España",1509,,"Av. De La Vega, 1. Ed. Veganova, 0",Pl. 2 - Este/Oeste,www.bancoprimus.es,W0102570I,Alcobendas,28108,911781100,1,base.state_es_m,base.es
res_bank_es_1510,Saxo Bank A/S,Saxo Bank A/S Sucursal En España,1510,,"Ps. De La Castellana, 42",Pl. 2,www.saxotrader.es,W0081547B,Madrid,28046,910020940,1,base.state_es_m,base.es
res_bank_es_1512,Elavon,"Elavon Financial Services Limited, Sucursal En España",1512,,"Cl. Antonio Gonzalez Echarte, 1",Edif. Hansa Urbana,,W0071818I,Madrid,28029,914176946,1,base.state_es_m,base.es
res_bank_es_1513,Caixa Geral Se,"Caixa Geral De Depositos, S.A. Sucursal En España",1513,,"Cl. Juan Ignacio Luca De Tena, 1",,,W0103739I,Madrid,28027,913099023,1,base.state_es_m,base.es
res_bank_es_1514,Cnh,"Cnh Financial Services, Sucursal En España",1514,,"Av. Jose Garate, 11",,,W0103662C,Coslada,28820,916603800,1,base.state_es_m,base.es
res_bank_es_1516,Jp Morgan Int,"J.P. Morgan International Bank Limited, Sucursal En España",1516,,"Cl. Jose Ortega Y Gasset, 29",,,W0069849H,Madrid,28006,915161200,1,base.state_es_m,base.es
res_bank_es_1520,"Mediobanca, S.E","Mediobanca, Sucursal En España",1520,,"Cl. Jorge Manrique, 12",,,W0053354G,Madrid,28006,915158100,1,base.state_es_m,base.es
res_bank_es_1521,Binckbank,"Binckbank Nv, Sucursal En España",1521,,"Cr. De Cadiz Km. 178'7, Local 15, 0",Ur. Marbella Real,,W0034369I,Marbella,29602,952924011,1,base.state_es_ma,base.es
res_bank_es_1522,Efg Bank (Luxem,"Efg Bank (Luxembourg) S.A., Sucursal En España",1522,EFGBESMMXXX,"Cl. Joaquin Costa, 26",,,W0181636B,Madrid,28002,913089370,1,base.state_es_m,base.es
res_bank_es_1523,Mercedes-Benz B,"Mercedes-Benz Bank Ag, Sucursal En España",1523,,"Av. De Bruselas, 30",,,W0045551I,Alcobendas,28108,914846000,1,base.state_es_m,base.es
res_bank_es_1524,Ubi Banca,"Ubi Banca International, S.A., Sucursal En España",1524,UBIBESMMXXX,"Ps. Castellana, 259",Torre Espacio Pl. 45,,W1081236J,Madrid,28046,913344061,1,base.state_es_m,base.es
res_bank_es_1526,Close Brothers,"Close Brothers Limited, Sucursal En España",1526,,"Ps. De La Castellana, 95",Pl.15A Torre Europa,www.closefs.es,W0060282A,Madrid,28046,914187910,1,base.state_es_m,base.es
res_bank_es_1528,Jcb Finance,"Jcb Finance, S.A.S., Sucursal En España",1528,,"Cl. Retama, 3",,,W0015663H,Madrid,28045,914682048,1,base.state_es_m,base.es
res_bank_es_1529,Mce Bank,"Mce Bank Gmbh, Sucursal En España",1529,,"Cl. Francisco Gervas, 4",,,W0046152E,Alcobendas,28108,914903035,1,base.state_es_m,base.es
res_bank_es_1534,Kbl Bankers,"Kbl European Private Bankers, S.A., Sucursal En España",1534,KBLXESMMXXX,"Cl. Serrano, 57",,,W0182154E,Madrid,28006,914232200,1,base.state_es_m,base.es
