COD_TIPO,COD_BE,ORD_TIPO,NOMBRE50,NOMBRE105,OBSERVACIONES,CODIGOCIF,SIGLAVIA,NOMBREVIA,NUMEROVIA,RESTODOM,CODPOSTAL,POBLACION,PROVINCIA,CODPAIS,SERVTASA,TELEFONO,PENDBAJA,NUMFAX,DIRINTERNET,FCHBAJA,MOTBAJA,CODENTSUC,FECHACTUALIZA,FECHAALTA,CODAUT,CODPROV,NOMCOMERCIAL,INDICATIVONC,BIC,NOMENTMATRIZ,DIRENTMATRIZ,LOCENTMATRIZ,CPENTMATRIZ,TELENTMATRIZ,FAXENTMATRIZ,INTERNETENTMATRIZ,COD_AUTONOMIA,NOMBRE105_ENT_SUC,NOMBRE35,ANAGRAMA
SMMD,4004,904000,"INTERMEDIACION DE ACTIVOS, S.A. (INTERACTIVOS)","INTERMEDIACION DE ACTIVOS, S.A. (INTERACTIVOS)",,A28718112,CL,VELAZQUEZ,64-66,,28001,MADRID,,ES,,0,,0,,05/01/1990,POR CAMBIO DE OBJETO SOCIAL,0000,06/03/2008,28/07/1981,,28,,N,,,,,,,,,12,,"INTERMEDIACION DE ACTIVOS, S.A.",INTERACTIVOS
SMMD,4005,904000,SOCIEDAD ANONIMA MEDIACION DINERO - SAMEDI,SOCIEDAD ANONIMA MEDIACION DINERO - - SAMEDI,,A28757649,CL,CONDE DE ARANDA,15,,28001,MADRID,,ES,,0,,0,,11/10/1989,POR CAMBIO DE OBJETO SOCIAL,0000,06/03/2008,01/04/1982,,28,,N,,,,,,,,,12,,SOCIEDAD ANONIMA MEDIACION DINERO,SAMEDI
SMMD,4006,904000,"IBERICA DE DESCUENTO, S.A. 'DESCONTIBER'","IBERICA DE DESCUENTO, S.A. 'DESCONTIBER'",,A28763043,PZ,COLON,2,,28046,MADRID,,ES,,913086261,,913086317,,24/10/1991,POR TRANSFORMACION EN,0211,18/10/2000,30/04/1982,,28,,N,,,,,,,,,12,"BANCAJA, S.A.",IBERICA DE DESCUENTO,DESCONTIBER
SMMD,4008,904000,"4B DE INTERMEDIACION, S.A., S.M.M.D.","4B DE INTERMEDIACION, S.A., S.M.M.D.",,A28717932,PZ,INDEPENDENCIA,10,,28001,MADRID,,ES,,914310911,,914357260,,22/07/1991,POR CESION GLOBAL DE ACTIVOS Y PASIVOS A,0188,06/03/2008,12/06/1981,,28,,N,,,,,,,,,12,"BANCO ALCALA, S.A.","4B DE INTERMEDIACION, S.A.",4B INTERM.
SMMD,4009,904000,"SERVICIOS MONETARIOS Y BURSATILES, S.A.","SERVICIOS MONETARIOS Y BURSATILES, S.A.",,A78037330,CL,ALCALA,95,PL. 6,28009,MADRID,,ES,,915754440,,0,,11/11/1993,POR DISOLUCION,0000,18/10/2000,18/04/1985,,28,,N,,,,,,,,,12,,SERVICIOS MONETARIOS Y BURSATILES,S. M. B.
SMMD,4010,904000,"MEBAN, S.A., S.M.M.D.","MEBAN S.A., SOCIEDAD MEDIADORA EN EL MERCADO DE DINERO",,A78040110,CL,JUAN BRAVO,3-C,,28006,MADRID,,ES,,0,,0,,14/11/1989,A PETICION PROPIA,0000,06/03/2008,27/05/1985,,28,,N,,,,,,,,,12,,"MEBAN, S.A., S.M.M.D.",MEBAN S.A.
SMMD,4011,904000,"FINESOR, S.A. DE FINANCIACION Y TESORERIA","FINESOR, SOCIEDAD ANONIMA DE FINANCIACION Y TESORERIA",,A78051208,CL,HERMOSILLA,13,,28001,MADRID,,ES,,914351286,,0,,09/01/1990,POR TRANSFORMACION EN,0193,06/03/2008,17/06/1985,,28,,N,,,,,,,,,12,"BANCA FINESOR, S.A.","FINESOR, S.A.",FINESOR SA
SMMD,4012,904000,"A.B. ASESORES BURSATILES DEUDA PUBLICA, S.A.","A.B. ASESORES BURSATILES DEUDA PUBLICA, S.A.",,A78763059,PZ,LEALTAD,3,,28014,MADRID,,ES,,915801100,,915312811,,28/06/1995,POR CAMBIO DE OBJETO SOCIAL,0000,18/10/2000,01/01/1900,,28,,N,,,,,,,,,12,,A.B. ASESORES BURSATILES DEUDA PUB.,A.B.ASRES.B.
SMMD,4013,904000,"DINVERSIT, S.M.M.D., S.A.","DINVERSIT, SOCIEDAD MEDIADORA MERCADO DINERO, S.A.",,A78624897,CL,VELAZQUEZ,12,,28001,MADRID,,ES,,0,,0,,28/12/1989,POR CAMBIO DE OBJETO SOCIAL,0000,06/03/2008,24/06/1987,,28,,N,,,,,,,,,12,,"DINVERSIT, S.M.M.D., S.A.",DINVERSIT
SAF,4701,904700,"HISPANO ORIX LEASING, S.A.","HISPANO ORIX LEASING, S.A.",,A28138030,CL,COSTA BRAVA,10-12,,28034,MADRID,,ES,,914312414,,915776732,,27/12/1994,POR CAMBIO DE OBJETO SOCIAL,0000,06/03/2008,25/03/1965,,28,,N,,,,,,,,,12,,"HISPANO ORIX LEASING, S.A.",H. ORIX
SAF,4702,904700,"URQUIJO LEASING, S.A., S.A.F.","URQUIJO LEASING, SOCIEDAD ANONIMA, SOCIEDAD DE ARRENDAMIENTO FINANCIERO",,A28463693,CL,SOL,S/N,,28760,TRES CANTOS,MADRID,ES,,918073000,,918073301,,25/09/1995,POR FUSION POR ABSORCION POR,0112,06/03/2008,11/03/1977,,28,,N,,,,,,,,,12,"BANCO URQUIJO, S.A.","URQUIJO LEASING, S.A., S.A.F.",URQUIJO LEASING
SAF,4703,904700,"LISBAN, S.A., CIA. DE LEASING","LISBAN, S.A., COMPAÑIA DE LEASING",,A28223287,PS,CASTELLANA,79,,28046,MADRID,,ES,,0,,0,,02/02/1990,POR FUSION POR ABSORCION POR,4707,06/03/2008,29/06/1969,,28,,N,,,,,,,,,12,"BBV LEASING, S.A.","LISBAN, S.A., CIA. DE LEASING",LISBAN
SAF,4705,904700,"COMPAÑIA ESPAÑOLA DE FINANCIACION Y LEASING, S.A.","COMPAÑIA ESPAÑOLA DE FINANCIACION Y LEASING, S.A.",,A08240376,ZZ,VIA AUGUSTA,18,,8006,BARCELONA,,ES,,932382641,,0,,14/11/1991,POR FUSION POR ABSORCION POR,4720,06/03/2008,27/05/1969,,8,,N,,,,,,,,,9,"UNINTER LEASING, S.A.",CIA.ESPAÑOLA FINANCIACION Y LEASING,COFILE
SAF,4707,904700,"BBV LEASING, S.A.","BBV LEASING, S.A.",,A28267904,PS,CASTELLANA,81,,28046,MADRID,,ES,,913744020,,915781726,,22/06/1994,POR FUSION POR ABSORCION POR,0182,06/03/2008,01/07/1971,,28,,N,,,,,,,,,12,"BANCO BILBAO VIZCAYA, S.A.","BBV LEASING, S.A.",BBV LEA. SA.
SAF,4710,904700,"IBERLEASING, S.A.","IBERLEASING, S.A.",,A28168292,CL,CEDACEROS,1,PL. 4,28014,MADRID,,ES,,915234620,,915231235,,04/03/1996,POR FUSION POR ABSORCION POR,0075,06/03/2008,27/04/1966,,28,,N,,,,,,,,,12,"BANCO POPULAR ESPAÑOL, S.A.","IBERLEASING, S.A.",IBERLEASING
